AGE,DIST,CertID
12,232,4
28,696,4
25,555,4
79,493,4
73,647,4
74,715,4
37,535,4
55,451,4
53,617,4
68,259,4
54,436,4
75,419,4
60,231,4
52,659,4
48,616,4
37,421,4
63,459,4
70,681,4
33,734,4
18,498,4
40,353,4
61,433,4
17,630,4
29,669,4
60,794,4
26,791,4
24,472,4
14,444,4
70,635,4
53,227,4
54,546,4
71,512,4
33,565,4
23,376,4
51,602,4
78,221,4
29,359,4
62,481,4
30,497,4
77,518,4
47,520,4
23,678,4
70,710,4
23,474,4
14,339,4
57,310,4
77,558,4
16,797,4
23,484,4
10,563,4
10,444,4
53,791,4
59,752,4
15,484,4
35,749,4
32,568,4
29,421,4
69,248,4
72,547,4
11,366,4
61,741,4
72,444,4
57,409,4
63,574,4
16,485,4
55,480,4
55,407,4
45,323,4
35,210,4
43,797,4
52,363,4
30,430,4
20,670,4
78,774,4
58,731,4
62,249,4
80,670,4
20,542,4
14,620,4
55,305,4
32,219,4
25,490,4
27,697,4
53,750,4
71,440,4
73,506,4
43,770,4
66,252,4
23,322,4
36,214,4
12,231,4
68,697,4
33,487,4
44,668,4
40,550,4
20,239,4
33,745,4
54,359,4
59,493,4
76,768,4
46,730,4
45,489,4
72,592,4
78,537,4
31,562,4
80,625,4
31,678,4
39,330,4
48,455,4
48,419,4
18,724,4
72,499,4
39,405,4
67,500,4
63,640,4
75,390,4
53,455,4
77,352,4
71,610,4
39,329,4
14,783,4
68,462,4
50,633,4
28,749,4
48,262,4
15,486,4
67,691,4
40,483,4
28,242,4
75,674,4
59,637,4
21,508,4
56,208,4
38,226,4
11,257,4
67,348,4
25,281,4
39,622,4
13,485,4
41,223,4
50,733,4
49,369,4
40,376,4
44,250,4
32,440,4
61,355,4
16,452,4
57,686,4
43,415,4
55,473,4
61,289,4
18,622,4
27,270,4
19,781,4
71,398,4
38,351,4
53,791,4
10,570,4
16,545,4
30,778,4
10,566,4
44,334,4
67,462,4
73,710,4
33,207,4
23,660,4
65,412,4
16,769,4
21,783,4
58,218,4
73,667,4
51,648,4
25,295,4
79,562,4
26,379,4
71,565,4
64,507,4
78,310,4
11,800,4
34,548,4
52,655,4
67,434,4
62,556,4
17,337,4
14,623,4
77,474,4
34,504,4
58,729,4
16,696,4
22,639,4
42,584,4
61,269,4
21,716,4
13,569,4
25,614,4
67,360,4
16,313,4
35,380,4
12,425,4
