AGE,DIST,CertID
60,579,1
28,343,1
46,378,1
13,651,1
55,306,1
57,260,1
64,229,1
65,782,1
38,765,1
33,609,1
55,680,1
47,241,1
55,511,1
23,201,1
68,700,1
64,447,1
48,703,1
71,733,1
49,481,1
10,533,1
59,248,1
67,568,1
17,263,1
55,420,1
61,444,1
59,677,1
11,285,1
17,252,1
75,651,1
12,507,1
29,630,1
64,279,1
66,256,1
13,505,1
55,475,1
68,335,1
79,666,1
31,454,1
21,206,1
33,230,1
68,291,1
29,352,1
77,502,1
73,768,1
45,368,1
45,748,1
39,577,1
61,674,1
58,353,1
34,208,1
53,567,1
74,511,1
55,420,1
63,590,1
65,276,1
57,487,1
48,753,1
58,347,1
57,218,1
14,559,1
71,565,1
37,624,1
32,553,1
22,429,1
37,414,1
44,227,1
21,756,1
63,371,1
53,489,1
63,638,1
16,230,1
78,701,1
65,742,1
17,473,1
46,687,1
39,312,1
42,374,1
55,774,1
17,747,1
61,701,1
37,235,1
50,247,1
31,783,1
45,735,1
18,278,1
41,568,1
12,357,1
11,220,1
75,718,1
18,772,1
78,340,1
35,570,1
25,750,1
44,607,1
55,545,1
77,427,1
49,300,1
21,465,1
26,319,1
48,673,1
20,580,1
15,600,1
69,568,1
20,481,1
45,291,1
69,626,1
29,396,1
43,466,1
50,475,1
46,294,1
20,638,1
41,715,1
47,333,1
65,580,1
75,275,1
40,373,1
61,405,1
78,638,1
15,728,1
54,725,1
20,581,1
69,292,1
42,556,1
22,332,1
12,370,1
26,454,1
64,348,1
36,570,1
76,585,1
78,749,1
24,326,1
60,504,1
77,244,1
17,246,1
78,521,1
17,590,1
36,594,1
63,426,1
41,289,1
29,579,1
70,409,1
66,673,1
18,624,1
34,723,1
23,503,1
48,454,1
41,299,1
69,695,1
21,494,1
75,381,1
39,758,1
64,533,1
76,429,1
22,707,1
55,366,1
71,506,1
40,592,1
64,430,1
38,432,1
48,239,1
11,314,1
30,576,1
20,493,1
54,445,1
34,466,1
44,665,1
73,263,1
32,724,1
48,410,1
24,456,1
54,550,1
19,685,1
20,474,1
51,395,1
25,636,1
26,347,1
10,692,1
37,760,1
15,389,1
55,718,1
44,365,1
55,390,1
61,721,1
32,313,1
55,310,1
14,686,1
63,782,1
45,786,1
74,493,1
44,627,1
38,457,1
27,731,1
61,268,1
19,251,1
21,249,1
56,534,1
42,770,1
23,242,1
22,742,1
